,id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
0,553260,243,2019-08-31 21:20:00,2019-08-31 21:40:00,0.3277777777777778,0.7744,10.0,20.0,1.0,0
1,553263,259,2019-09-03 10:40:00,2019-09-03 10:50:00,0.1388888888888889,1.0374,20.0,25.0,1.0,0
2,553264,259,2019-09-03 11:30:00,2019-09-03 12:10:00,0.6833333333333333,1.0374,15.0,25.0,1.0,0
3,553265,259,2019-09-03 14:30:00,2019-09-03 14:40:00,0.2661111111111111,0.6006,15.0,20.0,1.0,0
4,553270,224,2019-09-04 16:00:00,2019-09-04 19:30:00,3.508888888888889,18.018,70.0,100.0,1.0,0
5,553271,259,2019-09-04 16:10:00,2019-09-04 16:30:00,0.3222222222222222,0.9828,15.0,20.0,1.0,0
6,553274,259,2019-09-04 18:40:00,2019-09-04 20:00:00,1.4944444444444445,1.96,15.0,30.0,1.0,0
7,553276,307,2019-09-04 21:00:00,2019-09-04 21:20:00,0.2163888888888888,1.8564,15.0,30.0,1.0,0
8,553277,259,2019-09-05 00:40:00,2019-09-05 00:50:00,0.2386111111111111,1.4742,15.0,25.0,1.0,0
9,553280,265,2019-09-05 14:40:00,2019-09-06 00:10:00,9.578611111111112,28.08,55.0,100.0,1.0,32
10,553281,224,2019-09-05 16:40:00,2019-09-05 20:50:00,4.004166666666666,18.954,70.0,100.0,1.0,0
11,553282,307,2019-09-06 12:20:00,2019-09-06 12:50:00,0.5444444444444444,0.546,15.0,20.0,1.0,0
12,553283,307,2019-09-06 16:20:00,2019-09-06 16:30:00,0.2052777777777777,1.96,15.0,30.0,1.0,0
13,553284,307,2019-09-09 08:30:00,2019-09-09 08:40:00,0.2388888888888889,0.6006,15.0,20.0,1.0,0
14,553285,259,2019-09-09 08:40:00,2019-09-09 08:40:00,0.0386111111111111,0.6006,15.0,20.0,1.0,64
15,553287,313,2019-09-09 09:30:00,2019-09-09 09:50:00,0.4497222222222222,1.96,15.0,25.0,1.0,0
16,553288,334,2019-09-09 09:40:00,2019-09-09 10:20:00,0.7,0.7644,15.0,20.0,1.0,0
17,553289,313,2019-09-09 10:10:00,2019-09-09 10:20:00,0.2052777777777777,1.96,15.0,30.0,1.0,0
18,553293,259,2019-09-09 15:00:00,2019-09-09 15:10:00,0.15,0.6006,15.0,20.0,1.0,0
19,553295,334,2019-09-09 16:30:00,2019-09-09 16:40:00,0.15,1.8018,15.0,30.0,1.0,0
20,553296,334,2019-09-09 16:50:00,2019-09-09 16:50:00,0.05,0.6006,20.0,20.0,1.0,0
21,553298,334,2019-09-10 12:20:00,2019-09-10 12:20:00,0.0555555555555555,0.8736,15.0,20.0,1.0,0
22,553299,334,2019-09-10 13:10:00,2019-09-10 14:00:00,0.8011111111111111,1.5288,15.0,30.0,1.0,0
23,553300,334,2019-09-10 14:10:00,2019-09-10 14:20:00,0.2502777777777777,0.6552,15.0,20.0,1.0,0
24,553301,259,2019-09-10 15:40:00,2019-09-10 16:20:00,0.6666666666666666,1.4196,15.0,25.0,1.0,0
25,553302,259,2019-09-10 16:30:00,2019-09-10 16:50:00,0.2666666666666666,1.96,15.0,30.0,1.0,0
26,553303,224,2019-09-11 09:50:00,2019-09-12 09:20:00,23.476666666666667,32.76,45.0,100.0,1.0,0
27,553305,313,2019-09-11 13:20:00,2019-09-11 14:00:00,0.6,0.819,15.0,20.0,1.0,0
28,553306,313,2019-09-11 14:20:00,2019-09-11 14:40:00,0.3111111111111111,1.5288,15.0,25.0,1.0,0
29,553307,313,2019-09-11 15:00:00,2019-09-11 15:10:00,0.1280555555555555,1.4742,15.0,25.0,1.0,0
30,553308,259,2019-09-11 17:20:00,2019-09-11 17:30:00,0.1444444444444444,1.1466,10.0,15.0,1.0,0
31,553310,307,2019-09-12 08:00:00,2019-09-12 08:10:00,0.2941666666666667,0.8736,15.0,20.0,1.0,0
32,553311,307,2019-09-12 09:30:00,2019-09-12 09:50:00,0.2719444444444444,1.3104,15.0,25.0,1.0,0
33,553314,307,2019-09-13 18:20:00,2019-09-13 18:30:00,0.1055555555555555,1.3104,15.0,25.0,1.0,0
34,553315,307,2019-09-13 18:30:00,2019-09-13 18:30:00,0.0830555555555555,1.3104,25.0,35.0,1.0,0
35,553316,243,2019-09-14 08:40:00,2019-09-14 09:00:00,0.3216666666666666,0.7744,10.0,20.0,1.0,0
36,553317,243,2019-09-14 09:00:00,2019-09-14 09:20:00,0.2994444444444444,0.7744,10.0,20.0,1.0,0
37,553318,243,2019-09-14 16:50:00,2019-09-14 17:30:00,0.7111111111111111,0.7744,15.0,25.0,1.0,0
38,553319,243,2019-09-14 18:10:00,2019-09-14 18:20:00,0.0888888888888888,0.7744,15.0,25.0,1.0,0
39,553321,243,2019-09-16 12:00:00,2019-09-16 12:10:00,0.1830555555555555,0.6864,10.0,20.0,1.0,0
40,553323,259,2019-09-17 09:00:00,2019-09-17 09:00:00,0.0669444444444444,1.092,15.0,25.0,1.0,0
41,553324,259,2019-09-17 10:10:00,2019-09-17 10:20:00,0.2222222222222222,1.1466,15.0,25.0,1.0,0
42,553325,224,2019-09-17 16:00:00,2019-09-17 17:30:00,1.518888888888889,7.02,90.0,100.0,1.0,0
43,553326,334,2019-09-17 17:40:00,2019-09-17 17:50:00,0.1330555555555555,0.9828,10.0,15.0,1.0,0
44,553330,243,2019-09-19 13:10:00,2019-09-19 13:30:00,0.2555555555555555,0.72072,15.0,20.0,1.0,0
45,553331,259,2019-09-19 13:30:00,2019-09-19 13:50:00,0.2722222222222222,1.0374,15.0,25.0,1.0,0
46,553332,259,2019-09-19 15:10:00,2019-09-19 15:20:00,0.1719444444444444,1.3104,15.0,25.0,1.0,0
47,553334,243,2019-09-19 16:00:00,2019-09-19 16:30:00,0.5966666666666667,0.72072,10.0,20.0,1.0,0
48,553336,313,2019-09-19 16:50:00,2019-09-19 16:50:00,0.0502777777777777,0.6006,15.0,20.0,1.0,0
49,553337,313,2019-09-19 17:00:00,2019-09-19 17:20:00,0.4775,1.96,15.0,25.0,1.0,0
50,553338,313,2019-09-19 17:30:00,2019-09-19 17:40:00,0.2166666666666666,1.911,15.0,30.0,1.0,0
51,553340,243,2019-09-20 12:50:00,2019-09-20 13:10:00,0.2941666666666667,0.7744,25.0,35.0,1.0,0
52,553342,313,2019-09-20 15:20:00,2019-09-20 15:40:00,0.2055555555555555,1.3104,15.0,25.0,1.0,0
53,553343,313,2019-09-20 15:50:00,2019-09-20 16:00:00,0.205,0.819,15.0,25.0,1.0,0
54,553344,297,2019-09-23 09:30:00,2019-09-23 09:50:00,0.3272222222222222,1.638,55.0,55.0,1.0,0
55,553345,297,2019-09-23 11:50:00,2019-09-23 15:20:00,3.5027777777777778,18.954,55.0,85.0,1.0,0
56,553347,265,2019-09-23 13:50:00,2019-09-23 16:40:00,2.72,4.446,90.0,100.0,1.0,0
57,553348,259,2019-09-23 14:20:00,2019-09-23 14:20:00,0.0555555555555555,0.7644,15.0,20.0,1.0,0
58,553350,259,2019-09-23 15:10:00,2019-09-23 15:10:00,0.1333333333333333,1.6926,15.0,30.0,1.0,0
59,553352,243,2019-09-24 08:40:00,2019-09-24 09:00:00,0.3108333333333333,0.65208,10.0,20.0,1.0,0
60,553353,334,2019-09-25 07:50:00,2019-09-25 08:10:00,0.2666666666666666,0.9282,15.0,20.0,1.0,0
61,553354,334,2019-09-25 08:10:00,2019-09-25 08:20:00,0.1052777777777777,1.0374,15.0,25.0,1.0,0
62,553355,334,2019-09-25 11:20:00,2019-09-25 11:50:00,0.5052777777777778,1.4196,20.0,30.0,1.0,0
63,553356,259,2019-09-25 11:30:00,2019-09-25 12:20:00,0.8061111111111111,1.092,15.0,20.0,1.0,0
64,553359,259,2019-09-26 12:10:00,2019-09-26 12:20:00,0.1,1.0374,15.0,20.0,1.0,0
65,553360,259,2019-09-26 13:00:00,2019-09-26 13:10:00,0.2608333333333333,1.638,15.0,25.0,1.0,0
66,553361,259,2019-09-26 13:30:00,2019-09-26 13:40:00,0.0941666666666666,1.5288,20.0,25.0,1.0,0
67,553362,242,2019-09-26 15:40:00,2019-09-27 09:00:00,17.325,33.696,45.0,100.0,1.0,0
68,553363,243,2019-09-26 16:40:00,2019-09-26 17:00:00,0.2986111111111111,0.65208,10.0,20.0,1.0,0
69,553364,224,2019-09-26 18:00:00,2019-09-27 01:40:00,7.576666666666667,36.0,30.0,100.0,1.0,0
70,553367,265,2019-09-27 12:50:00,2019-09-27 13:20:00,0.505,8.19,85.0,100.0,1.0,0
71,553368,297,2019-09-27 13:20:00,2019-09-27 16:40:00,3.273888888888889,14.04,55.0,80.0,1.0,0
72,553369,231,2019-09-27 13:50:00,2019-09-27 14:20:00,0.5266666666666666,1.8018,0.0,15.0,1.0,0
73,553370,243,2019-09-27 19:30:00,2019-09-27 19:50:00,0.3055555555555556,0.7744,10.0,20.0,1.0,0
74,553371,243,2019-09-27 20:10:00,2019-09-27 20:20:00,0.1941666666666666,0.7744,15.0,25.0,1.0,0
75,553372,242,2019-09-28 14:30:00,2019-09-28 14:50:00,0.4447222222222222,1.872,40.0,40.0,1.0,0
76,553373,242,2019-09-29 00:50:00,2019-09-30 01:20:00,24.0,36.0,35.0,100.0,1.0,0
77,553378,243,2019-10-01 20:10:00,2019-10-01 20:30:00,0.3275,0.7744,15.0,25.0,1.0,0
78,553379,243,2019-10-01 20:40:00,2019-10-01 21:00:00,0.2663888888888889,0.7744,15.0,25.0,1.0,0
79,553380,243,2019-10-02 14:50:00,2019-10-02 15:10:00,0.2997222222222222,0.54912,10.0,20.0,1.0,0
80,553381,226,2019-10-02 16:20:00,2019-10-02 17:00:00,0.7686111111111111,1.911,0.0,15.0,1.0,0
81,553383,243,2019-10-03 07:30:00,2019-10-03 07:50:00,0.3163888888888889,0.61776,10.0,20.0,1.0,0
82,553385,981,2019-10-03 12:00:00,2019-10-03 12:50:00,0.8405555555555555,1.5834,0.0,10.0,1.0,0
83,553387,243,2019-10-04 08:40:00,2019-10-04 09:00:00,0.2552777777777777,0.7744,10.0,20.0,1.0,0
84,553388,243,2019-10-04 09:30:00,2019-10-04 09:40:00,0.1722222222222222,0.7744,15.0,25.0,1.0,0
85,553390,327,2019-10-04 14:30:00,2019-10-05 09:30:00,18.861944444444443,23.166,60.0,100.0,1.0,0
86,553391,307,2019-10-08 08:40:00,2019-10-08 09:10:00,0.4833333333333333,1.5288,15.0,25.0,1.0,0
87,553392,326,2019-10-08 10:10:00,2019-10-08 10:20:00,0.0997222222222222,0.819,15.0,20.0,1.0,0
88,553393,307,2019-10-08 12:30:00,2019-10-08 13:30:00,1.0172222222222222,1.96,15.0,30.0,1.0,0
89,553395,307,2019-10-08 14:10:00,2019-10-08 14:20:00,0.1055555555555555,0.6552,15.0,20.0,1.0,0
90,553400,307,2019-10-10 09:20:00,2019-10-10 09:40:00,0.2722222222222222,0.546,15.0,20.0,1.0,0
91,553401,265,2019-10-10 11:30:00,2019-10-10 12:00:00,0.5572222222222222,10.53,80.0,95.0,1.0,0
92,553402,327,2019-10-11 08:40:00,2019-10-12 02:20:00,17.700833333333332,35.568,40.0,100.0,1.0,0
93,553404,334,2019-10-12 18:10:00,2019-10-12 18:30:00,0.3722222222222222,0.546,15.0,20.0,1.0,0
94,553405,243,2019-10-12 18:20:00,2019-10-12 18:30:00,0.1888888888888888,0.7744,30.0,35.0,1.0,0
95,553406,224,2019-10-14 15:40:00,2019-10-14 16:10:00,0.5166666666666667,2.574,80.0,85.0,1.0,0
96,553412,265,2019-10-17 13:00:00,2019-10-17 14:10:00,1.0663888888888888,19.89,65.0,100.0,1.0,0
97,553413,277,2019-10-18 10:20:00,2019-10-18 11:20:00,1.0991666666666666,1.365,0.0,10.0,1.0,0
98,553415,243,2019-10-18 17:50:00,2019-10-18 18:00:00,0.1944444444444444,0.7744,15.0,25.0,1.0,0
99,553416,265,2019-10-21 11:10:00,2019-10-21 11:40:00,0.5163888888888889,12.402,75.0,100.0,1.0,0
100,553417,243,2019-10-21 14:50:00,2019-10-21 15:10:00,0.3222222222222222,0.7744,10.0,25.0,1.0,0
